tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Terraform,2,123.908,55.437,29.301,39.170,1.0,100.0,61.9,11.7,22.5,16.6,1492.47,2.21,17.613,0.026,204.81,5401.19,2
Terraform,1,120.760,52.965,29.791,38.004,1.0,100.0,61.6,12.3,21.9,17.0,1492.49,2.28,18.035,0.028,193.67,5586.83,2
Terraform,2,127.897,55.420,29.569,42.908,0.5,100.0,62.3,12.1,23.6,16.8,1492.60,2.58,17.562,0.030,207.09,5403.44,2
Terraform,1,124.733,54.607,29.520,40.606,2.0,100.0,61.5,12.1,22.3,16.7,1492.56,2.62,17.742,0.031,213.56,5925.11,2
Terraform,2,127.448,56.445,29.538,41.465,1.0,100.0,61.9,11.9,22.5,16.7,1492.54,2.38,17.359,0.028,209.86,5402.60,2
Terraform,2,123.751,54.905,29.539,39.307,0.5,100.0,61.5,11.9,23.9,17.1,1492.53,2.66,17.675,0.032,266.61,5397.58,2
Terraform,2,128.629,55.451,29.446,43.732,0.5,100.0,61.8,11.9,21.7,16.6,1492.52,2.31,17.580,0.027,213.61,5400.70,2
Terraform,2,128.183,56.781,29.569,41.833,0.5,100.0,62.7,12.1,21.9,16.9,1492.51,2.47,17.284,0.029,212.07,5405.27,2
Terraform,2,129.606,55.902,29.767,43.937,0.5,100.0,62.1,12.4,22.6,17.1,1492.51,2.33,17.422,0.027,203.33,5406.34,2
Terraform,1,126.879,54.260,29.399,43.220,0.5,100.0,62.3,11.9,21.2,16.6,1492.51,2.43,17.840,0.029,193.82,5396.94,2
Terraform,1,127.205,54.795,29.932,42.478,0.5,100.0,62.5,12.3,23.4,17.1,1492.55,2.45,17.616,0.029,234.35,5400.32,2
Terraform,2,126.165,54.337,29.565,42.263,1.0,100.0,61.3,11.9,22.8,17.1,1492.51,2.18,17.789,0.026,207.05,5403.38,2
Terraform,2,123.222,55.003,29.544,38.675,0.5,100.0,61.9,12.3,23.3,16.9,1492.54,2.54,17.653,0.030,231.09,5409.69,2
Terraform,2,120.570,51.776,29.502,39.292,1.0,100.0,61.4,12.3,23.2,17.0,1492.56,2.58,18.364,0.032,171.16,5404.95,2
Terraform,2,126.198,57.431,29.628,39.139,1.0,100.0,62.7,12.0,23.8,17.0,1492.52,2.31,17.144,0.027,218.16,5410.37,2
Terraform,2,123.182,53.274,29.429,40.479,1.0,100.0,61.5,11.8,23.6,16.8,1492.52,2.15,18.047,0.026,201.17,5405.52,2
Terraform,2,120.696,53.930,29.588,37.178,1.0,100.0,61.9,11.5,21.9,16.7,1492.59,2.46,17.871,0.029,203.38,5401.17,2
Terraform,1,122.411,53.872,29.462,39.077,0.5,100.0,62.1,11.8,22.2,16.5,1492.57,2.54,17.911,0.030,188.46,5471.95,2
Terraform,2,123.158,54.394,29.563,39.201,0.5,100.0,61.9,12.0,22.8,16.7,1492.55,2.35,17.778,0.028,218.65,5403.66,2
Terraform,2,119.591,51.269,29.513,38.809,0.5,100.0,60.8,11.9,21.3,16.3,1492.52,2.51,18.476,0.031,212.98,5397.79,2
Terraform,1,126.685,55.721,29.745,41.219,0.5,100.0,61.8,12.0,22.9,16.9,1492.48,2.43,17.463,0.028,195.56,5404.70,2
Terraform,2,119.823,53.080,29.495,37.248,0.5,100.0,61.7,12.1,22.4,16.9,1492.55,2.51,18.075,0.030,246.79,5414.08,2
Terraform,2,128.878,56.020,29.331,43.527,1.0,100.0,61.6,12.3,21.8,16.8,1492.52,2.75,17.487,0.032,204.03,5399.21,2
Terraform,2,129.656,56.853,29.481,43.322,1.0,100.0,62.3,11.9,23.0,16.8,1492.50,2.29,17.288,0.027,185.89,5403.98,2
Terraform,2,126.366,55.295,29.606,41.465,1.0,100.0,61.6,12.0,21.9,16.9,1492.52,2.39,17.580,0.028,228.57,5407.00,2
Terraform,2,123.729,54.882,29.481,39.366,0.5,100.0,61.6,11.9,22.9,17.0,1492.49,2.26,17.691,0.027,202.48,5398.28,2
Terraform,2,120.665,53.801,29.545,37.319,1.0,100.0,61.8,11.8,22.7,16.5,1492.52,2.30,17.908,0.028,194.08,5399.76,2
Terraform,2,122.186,52.208,29.495,40.483,1.0,100.0,60.9,11.9,22.3,16.5,1492.55,2.56,18.268,0.031,198.63,5398.84,2
Terraform,1,119.223,52.520,29.596,37.107,1.0,100.0,61.0,12.0,23.3,16.9,1492.53,2.62,18.176,0.032,202.47,5397.83,2
Terraform,2,127.248,55.220,29.765,42.263,1.0,100.0,62.3,12.0,22.6,17.3,1492.54,2.41,17.562,0.028,221.95,5402.58,2
Terraform,2,122.792,54.175,29.494,39.123,2.0,100.0,62.0,12.2,22.9,16.9,1492.52,2.39,17.838,0.029,186.54,5702.08,2
Terraform,2,124.401,55.774,29.395,39.232,1.0,100.0,61.6,12.3,22.8,17.0,1492.51,2.34,17.524,0.027,209.21,5403.03,2
Terraform,2,118.822,48.643,29.696,40.483,1.5,100.0,63.0,12.3,22.6,17.1,1492.87,2.28,19.057,0.029,249.44,5407.34,2
Terraform,2,118.092,49.479,29.536,39.077,1.0,100.0,62.2,12.3,24.2,17.2,1493.15,2.94,18.897,0.037,199.51,5408.48,2
Terraform,2,124.979,52.037,29.927,43.015,1.0,100.0,62.8,12.8,22.6,17.5,1493.20,2.61,18.218,0.032,289.41,5408.54,2
Terraform,2,133.289,59.719,29.428,44.142,0.0,100.0,58.1,12.6,24.7,17.1,1492.90,2.38,16.746,0.027,199.36,5407.67,2
Terraform,1,117.893,49.346,29.300,39.247,1.0,100.0,63.1,12.7,22.0,17.0,1493.00,2.57,18.984,0.033,208.23,5742.22,2
Terraform,1,118.264,48.355,29.430,40.479,0.5,100.0,62.6,12.5,23.4,17.4,1492.95,2.24,19.193,0.029,213.99,5463.37,2
Terraform,2,115.881,49.282,29.775,36.824,1.0,100.0,63.3,12.5,23.1,17.3,1492.96,2.41,18.885,0.030,293.51,5405.07,2
Terraform,2,121.114,54.038,29.474,37.602,0.5,100.0,60.8,12.2,23.1,17.0,1492.94,2.40,17.877,0.029,226.64,5406.22,2
Terraform,1,119.942,51.243,29.288,39.411,1.0,99.5,63.4,12.5,22.2,17.1,1492.90,2.22,18.538,0.028,204.88,5434.11,2
Terraform,1,123.257,51.864,29.560,41.833,1.0,100.0,63.8,12.1,23.7,17.3,1492.94,2.38,18.335,0.029,229.40,5456.77,2
