tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Pulumi,2,132.739,61.008,32.020,39.711,0.0,100.0,57.2,11.6,22.0,16.4,1519.69,2.03,16.336,0.022,233.85,5421.54,4
Pulumi,2,136.207,62.709,32.042,41.456,0.0,100.0,58.7,11.3,22.2,16.1,1492.47,2.18,15.751,0.023,229.84,5429.75,4
Pulumi,2,131.408,59.597,32.007,39.804,0.0,100.0,58.2,11.6,22.6,16.3,1538.61,2.29,16.796,0.025,228.65,5476.96,4
Pulumi,2,130.468,61.971,31.310,37.187,0.0,100.0,58.4,11.6,21.6,16.2,1492.55,2.50,16.001,0.027,228.81,5425.11,4
Pulumi,2,134.650,61.220,31.811,41.619,0.0,100.0,58.1,11.2,22.9,16.0,1497.90,2.18,16.101,0.023,236.98,5414.89,4
Pulumi,2,133.831,60.980,31.719,41.132,0.0,100.0,58.8,11.5,21.6,16.1,1492.55,2.25,16.101,0.024,237.57,5414.98,4
Pulumi,1,124.651,56.998,31.474,36.179,0.0,100.0,58.4,11.6,22.6,16.5,1492.56,2.36,16.870,0.027,224.83,5715.17,4
Pulumi,1,134.917,62.436,31.909,40.572,2.0,100.0,59.2,11.7,22.4,16.2,1492.56,2.30,15.820,0.024,231.06,5868.31,4
Pulumi,2,128.681,58.544,31.999,38.138,0.0,100.0,59.0,11.5,22.1,16.2,1492.53,2.26,16.484,0.025,232.91,5428.04,4
Pulumi,2,130.693,60.339,32.292,38.062,0.0,100.0,58.9,11.8,22.2,16.5,1532.41,2.24,16.543,0.024,250.12,5417.94,4
Pulumi,2,129.705,60.576,31.606,37.523,1.0,100.0,58.4,11.6,22.9,16.5,1492.54,2.04,16.191,0.022,219.30,5698.02,4
Pulumi,2,132.807,60.485,31.627,40.695,0.0,100.0,58.2,11.5,21.7,16.2,1492.51,2.34,16.203,0.025,214.29,5414.60,4
Pulumi,2,132.799,60.282,31.466,41.051,0.0,100.0,57.2,11.6,21.2,16.1,1492.61,2.31,16.269,0.025,230.52,5417.72,4
Pulumi,2,130.559,58.920,31.975,39.664,0.0,100.0,59.1,11.6,21.7,16.3,1538.67,2.19,16.928,0.024,230.51,5472.71,4
Pulumi,2,135.795,63.923,31.883,39.989,0.0,100.0,58.2,11.5,21.3,16.1,1492.51,2.07,15.578,0.022,225.83,5419.59,4
Pulumi,2,133.305,63.163,31.928,38.214,0.0,100.0,57.6,11.6,22.6,16.0,1492.62,2.56,15.697,0.027,212.96,5417.62,4
Pulumi,2,134.552,62.258,32.351,39.943,0.0,100.0,59.4,11.6,22.9,16.2,1493.20,2.24,15.783,0.024,226.18,5417.03,4
Pulumi,2,131.160,59.218,31.906,40.036,0.0,100.0,58.4,11.6,22.4,16.3,1509.79,2.53,16.569,0.028,220.36,5623.97,4
Pulumi,1,131.956,62.200,31.997,37.759,0.0,100.0,58.8,11.6,23.1,16.4,1538.56,2.24,16.333,0.024,214.35,5451.61,4
Pulumi,2,129.076,61.509,31.812,35.755,0.0,100.0,58.1,11.4,22.5,16.4,1492.59,2.25,15.994,0.024,218.77,5431.34,4
Pulumi,2,133.213,61.441,32.200,39.572,0.0,100.0,57.8,11.6,22.6,16.2,1492.54,2.14,15.939,0.023,231.66,5419.54,4
Pulumi,2,129.806,60.359,31.895,37.552,0.0,100.0,58.9,11.3,22.3,16.4,1538.63,2.25,16.678,0.024,260.29,5460.91,4
Pulumi,2,128.617,61.229,31.528,35.860,0.0,100.0,57.9,11.9,22.6,16.4,1492.55,2.21,16.091,0.024,237.50,5425.14,4
Pulumi,1,131.032,63.300,31.767,35.965,0.0,100.0,57.0,11.9,22.7,16.7,1523.48,2.42,16.025,0.025,251.51,5501.09,4
Pulumi,1,129.682,61.793,32.239,35.650,0.0,100.0,56.8,11.9,23.4,16.5,1516.14,2.47,16.124,0.026,243.70,5968.67,4
Pulumi,1,132.841,60.198,31.826,40.817,0.0,100.0,57.9,12.0,22.8,16.6,1492.99,2.23,16.224,0.024,243.07,5526.78,4
Pulumi,2,129.064,58.048,32.184,38.832,0.0,100.0,57.8,12.2,24.4,16.9,1529.09,2.47,16.946,0.027,300.30,5468.31,4
Pulumi,2,133.281,63.095,31.669,38.517,0.0,100.0,56.5,11.9,22.7,16.1,1493.13,2.36,15.756,0.025,258.67,5433.09,4
Pulumi,2,131.728,62.021,32.100,37.607,0.0,100.0,58.3,11.9,21.9,16.6,1536.20,2.57,16.322,0.027,225.95,5437.06,4
Pulumi,2,131.448,61.984,32.613,36.851,0.0,100.0,58.5,11.9,22.6,16.5,1493.33,2.83,15.786,0.030,278.04,5421.34,4
Pulumi,1,130.484,61.386,32.359,36.739,0.0,100.0,57.7,12.0,23.4,16.8,1539.08,2.32,16.418,0.025,236.93,5802.41,4
Pulumi,2,129.353,59.402,32.428,37.523,0.0,99.5,57.4,11.9,24.5,16.6,1539.63,3.30,16.766,0.036,250.48,5677.60,4
Pulumi,1,128.222,60.101,30.552,37.569,0.5,100.0,56.8,12.3,23.8,17.0,1516.33,2.28,16.727,0.025,248.00,5878.09,4
Pulumi,2,132.542,62.949,32.070,37.523,0.0,100.0,58.0,11.9,23.5,16.6,1539.05,2.29,16.197,0.024,243.34,5712.60,4
Pulumi,2,136.564,63.856,31.860,40.848,0.0,100.0,58.3,11.9,23.6,16.6,1539.01,2.16,16.079,0.023,315.73,5637.41,4
Pulumi,2,135.584,62.325,31.397,41.862,0.0,100.0,59.0,11.8,23.6,16.6,1492.98,2.29,15.930,0.024,249.78,5466.69,4
Pulumi,1,133.147,63.221,31.409,38.517,0.0,100.0,57.5,11.7,21.4,16.3,1493.04,2.55,15.778,0.027,255.64,5537.41,4
Pulumi,1,133.527,61.280,32.745,39.502,0.0,100.0,58.0,11.9,21.8,16.3,1538.96,2.01,16.368,0.021,262.42,5828.62,4
Pulumi,2,130.425,61.179,33.123,36.123,0.0,100.0,57.2,11.7,25.0,16.5,1539.07,2.38,16.321,0.025,255.13,5645.96,4
Pulumi,2,135.045,62.807,32.156,40.082,0.0,100.0,58.2,11.6,22.3,16.4,1524.03,2.19,16.049,0.023,244.11,5424.77,4
Pulumi,1,131.265,62.810,33.645,34.810,0.0,100.0,57.7,11.7,23.8,16.3,1539.06,2.42,15.956,0.025,281.52,5851.94,4
