tool,iteration,duration_total_sec,duration_install_sec,duration_topology_sec,convergence_sec,cpu_min_pct,cpu_max_pct,cpu_avg_pct,mem_min_pct,mem_max_pct,mem_avg_pct,net_rx_mb,net_tx_mb,net_rx_rate_mbps,net_tx_rate_mbps,disk_read_mb,disk_write_mb,ops_count
Chef,2,138.813,62.810,30.006,45.997,0.5,100.0,59.4,11.9,25.1,18.2,1486.52,2.09,16.016,0.023,290.45,5336.47,16
Chef,2,131.705,61.563,29.805,40.337,0.0,100.0,58.8,11.8,24.3,18.4,1450.53,2.27,15.876,0.025,294.89,5330.54,16
Chef,2,134.397,63.897,29.801,40.699,0.0,100.0,58.0,11.9,25.0,18.5,1446.98,2.51,15.443,0.027,300.63,5334.99,16
Chef,2,130.293,60.456,29.749,40.088,0.0,100.0,59.3,11.7,25.7,18.4,1492.51,2.13,16.546,0.024,286.60,5399.88,16
Chef,2,134.355,60.975,30.075,43.305,0.0,100.0,59.7,11.9,25.1,18.5,1492.54,2.36,16.393,0.026,279.73,5348.60,16
Chef,1,131.027,57.071,29.788,44.168,0.0,100.0,59.2,12.2,24.1,18.3,1492.58,2.62,17.184,0.030,290.25,5551.21,16
Chef,2,131.677,58.476,29.896,43.305,0.5,100.0,59.4,12.0,24.6,18.7,1492.53,2.38,16.889,0.027,294.11,5406.73,16
Chef,2,140.575,64.106,29.912,46.557,0.0,100.0,59.3,12.5,25.8,19.1,1492.89,2.20,15.879,0.023,309.10,5412.51,16
Chef,2,125.545,56.690,29.806,39.049,1.5,100.0,59.3,12.2,25.0,18.9,1452.71,2.66,16.795,0.031,297.06,5576.50,16
Chef,1,128.700,58.456,29.841,40.403,0.0,100.0,58.5,11.8,22.9,18.4,1493.28,2.79,16.912,0.032,314.08,5553.07,16
Chef,1,129.381,59.041,30.089,40.251,0.0,100.0,59.3,12.1,25.5,18.8,1440.44,2.07,16.161,0.023,340.31,5338.87,16
Chef,2,120.819,55.586,29.890,35.343,0.0,100.0,59.2,12.6,24.9,19.0,1479.40,2.63,17.308,0.031,344.06,5344.04,16
Chef,2,130.346,57.582,29.891,42.873,0.5,100.0,59.7,12.4,25.2,18.8,1492.96,2.45,17.068,0.028,282.64,5420.97,16
Chef,2,129.268,59.298,29.958,40.012,0.5,100.0,58.3,12.5,25.7,19.0,1492.84,2.12,16.725,0.024,332.20,5407.47,16
Chef,2,131.401,61.157,29.992,40.252,0.5,100.0,59.0,12.1,25.2,18.7,1492.92,2.19,16.379,0.024,281.02,5409.10,16
Chef,2,135.697,61.672,29.803,44.222,1.0,100.0,59.2,12.3,25.7,19.2,1493.08,2.36,16.322,0.026,284.95,5609.06,16
